IP Address,blurop,DNS Name,dfgdfgdfg,Repository,Crit.,High,Med.,Low
10.24.0.33,,ops-alpha-033.example.com.au,,BRA-KAFKA-SVC,4,3,5,3
10.24.0.34,,app-atlas-034.example.com.au,,ALP-WEB-OPS,3,4,1,3
10.24.0.35,,ops-charlie-035.demo.net,,LEG-LEGACY-ERP-OPS,4,5,4,4
10.24.0.36,,west-river-036.labs.local,,CHA-MAIL-OPS,5,3,2,1
10.24.0.37,,east-orion-037.corp.local,,BRA-CACHE-OPS,1,2,2,5
10.24.0.38,,north-foxtrot-038.example.com.au,,BRA-MONGO-SVC,5,3,1,1
10.24.0.39,,api-delta-039.test.internal,,ALP-PAY-OPS,2,2,3,2
10.24.0.40,,east-bravo-040.demo.net,,LEG-LEGACY-ERP-OPS,1,5,5,5
10.24.0.41,,core-matrix-041.test.internal,,BRA-MODEL-APP,3,2,4,5
10.24.0.42,,app-summit-042.labs.local,,BRA-MODEL-APP,4,2,4,1
10.24.0.43,,api-relay-043.test.internal,,BRA-REDIS-OPS,5,5,5,4
10.24.0.44,,api-alpha-044.labs.local,,BRA-DATA-APP,4,5,2,2
10.24.0.45,,prod-signal-045.labs.local,,CHA-VPN-OPS,4,3,3,5
10.24.0.46,,web-fusion-046.labs.local,,CHA-MAIL-OPS,2,3,1,2
10.24.0.47,,ext-cloud-047.labs.local,,BRA-REDIS-OPS,3,5,4,5
10.24.0.48,,api-foxtrot-048.example.com.au,,BRA-REDIS-OPS,3,5,4,5
10.24.0.49,,east-fusion-049.test.internal,,CHA-BACKUP-APP,2,4,1,2
10.24.0.50,,dmz-echo-050.corp.local,,ALP-WEB-OPS,1,4,4,1
10.24.0.51,,east-alpha-051.corp.local,,BRA-INGEST-SYS,4,4,4,5
10.24.0.52,,int-river-052.labs.local,,BRA-KAFKA-SVC,4,4,4,1
10.24.0.53,,south-signal-053.example.com.au,,CHA-PROXY-SYS,4,1,1,5
10.24.0.54,,east-matrix-054.uat.example,,CHA-VPN-OPS,5,1,3,2
10.24.0.55,,svc-stone-055.corp.local,,BRA-BATCH-SYS,4,2,1,2
10.24.0.56,,ops-alpha-056.test.internal,,BRA-SYNC-APP,1,1,4,1
10.24.0.57,,web-alpha-057.demo.net,,BRA-MONGO-SVC,1,2,3,3
10.24.0.58,,dmz-orion-058.example.com.au,,BRA-BI-SYS,3,4,3,3
10.24.0.59,,api-nova-059.demo.net,,CHA-WAF-APP,4,2,4,3
10.24.0.60,,dmz-echo-060.labs.local,,ALP-PROFILE-SYS,4,4,2,3
10.24.0.61,,edge-matrix-061.corp.local,,BRA-SYNC-APP,4,5,4,1
10.24.0.62,,svc-fusion-062.uat.example,,ALP-API-APP,5,4,4,4
10.24.0.63,,core-signal-063.test.internal,,ALP-ADMIN-SVC,3,3,3,4
10.24.0.64,,east-relay-064.test.internal,,BRA-MODEL-APP,1,2,2,4
10.24.0.65,,dmz-bravo-065.example.com.au,,CHA-MONITOR-SVC,3,1,3,5
10.24.0.66,,prod-summit-066.example.com.au,,BRA-LAKE-SYS,3,5,4,5
10.24.0.67,,ops-vault-067.test.internal,,BRA-INDEX-SVC,4,5,4,3
10.24.0.68,,secure-relay-068.labs.local,,ALP-PORTAL-OPS,3,3,3,2
10.24.0.69,,data-atlas-069.test.internal,,CHA-VPN-OPS,2,3,1,5
10.24.0.70,,edge-foxtrot-070.labs.local,,BRA-ANALYTICS-APP,4,4,4,3
10.24.0.71,,stage-river-071.corp.local,,ALP-ADMIN-SVC,4,4,4,3
10.24.0.72,,api-atlas-072.test.internal,,BRA-REDIS-OPS,4,4,5,4
10.24.0.73,,int-alpha-073.example.com.au,,BRA-LAKE-SYS,5,4,4,3
10.24.0.74,,north-signal-074.corp.local,,BRA-SYNC-APP,1,4,4,2
10.24.0.75,,prod-cloud-075.demo.net,,BRA-LAKE-SYS,5,5,4,3
10.24.0.76,,data-vector-076.example.com.au,,CHA-VPN-OPS,3,3,3,1
10.24.0.77,,node-bravo-077.demo.net,,ALP-API-APP,5,5,4,2
10.24.0.78,,east-relay-078.uat.example,,ALP-BILLING-SYS,4,4,5,5
10.24.0.79,,ext-fusion-079.labs.local,,CHA-JUMP-SVC,1,3,1,3
10.24.0.80,,dev-atlas-080.test.internal,,BRA-KAFKA-SVC,4,1,5,1
10.24.0.81,,dmz-matrix-081.labs.local,,ALP-PAY-OPS,3,5,1,4
10.24.0.82,,core-matrix-082.example.com.au,,BRA-ETL-APP,5,2,2,5
10.24.0.83,,south-river-083.test.internal,,CHA-VPN-OPS,1,1,4,4
10.24.0.84,,api-atlas-084.example.com.au,,ALP-SEARCH-APP,3,4,4,4
10.24.0.85,,south-nova-085.example.com.au,,BRA-BI-SYS,5,2,5,5
10.24.0.86,,stage-river-086.corp.local,,ALP-AUTH-SVC,3,2,3,5
10.24.0.87,,int-atlas-087.test.internal,,ALP-AUTH-SVC,4,1,4,3
10.24.0.88,,ext-atlas-088.demo.net,,ALP-NOTIFY-SVC,4,3,3,5
10.24.0.89,,web-stone-089.uat.example,,ALP-BILLING-SYS,3,5,5,4
10.24.0.90,,data-foxtrot-090.demo.net,,BRA-BATCH-SYS,4,1,3,3
10.24.0.91,,web-charlie-091.demo.net,,ALP-ORDER-OPS,5,4,4,2
10.24.0.92,,data-bravo-092.corp.local,,ALP-SEARCH-APP,5,5,5,3
10.24.0.93,,node-delta-093.uat.example,,CHA-PROXY-SYS,2,3,5,4
10.24.0.94,,east-atlas-094.labs.local,,ALP-NOTIFY-SVC,2,4,4,5
10.24.0.95,,ext-zen-095.demo.net,,ALP-ORDER-OPS,1,1,4,3
10.24.0.96,,app-foxtrot-096.demo.net,,CHA-JUMP-SVC,5,5,2,2
10.24.0.97,,west-echo-097.test.internal,,BRA-BATCH-SYS,2,5,3,1
10.24.0.98,,dmz-fusion-098.uat.example,,BRA-BATCH-SYS,3,1,5,4
10.24.0.99,,node-fusion-099.labs.local,,LEG-LEGACY-HR-OPS,5,4,3,4
10.24.0.100,,int-bravo-100.uat.example,,BRA-POSTGRES-APP,5,4,2,2
